date	total_count	lineage_count	total_count_rolling	lineage_count_rolling	proportion	proportion_ci_lower	proportion_ci_upper	dateTime	source
"2020-04-07"	2235	1	2235	1	0.00044742729306487697	0.00004828058520370778	0.0020894136119408158	"2020-04-07T04:00:00.000Z"	
"2020-04-08"	2249	0	2242	0.5	0.00022301516503122213	2.1899186164406628e-7	0.001119650592069439	"2020-04-08T04:00:00.000Z"	
"2020-04-09"	1888	0	2124	0.3333333333333333	0.0001569365976145637	2.3115664278472564e-7	0.0011818093142266708	"2020-04-09T04:00:00.000Z"	
"2020-04-10"	1887	0	2064.75	0.25	0.0001210800339024095	2.37760317934937e-7	0.001215550678084	"2020-04-10T04:00:00.000Z"	
"2020-04-11"	1583	0	1968.4	0.2	0.0001016053647632595	2.494777052577826e-7	0.0012754176605995252	"2020-04-11T04:00:00.000Z"	
"2020-04-12"	1240	0	1847	0.16666666666666666	0.00009023641941887746	2.658191846405012e-7	0.0013589042632386182	"2020-04-12T04:00:00.000Z"	
"2020-04-13"	2118	0	1885.7142857142858	0.14285714285714285	0.00007575757575757576	2.603231227888919e-7	0.0013308263399233722	"2020-04-13T04:00:00.000Z"	
"2020-04-14"	1954	0	1845.5714285714287	0	0	2.6596316251130277e-7	0.0013596397974122495	"2020-04-14T04:00:00.000Z"	
"2020-04-15"	3990	0	2094.285714285714	0	0	2.3446794676974764e-7	0.0011987285070753986	"2020-04-15T04:00:00.000Z"	
"2020-04-16"	1741	0	2073.285714285714	0	0	2.3684287802637317e-7	0.0012108631029233658	"2020-04-16T04:00:00.000Z"	
"2020-04-17"	1725	0	2050.1428571428573	0	0	2.394998152113401e-7	0.001224438419653661	"2020-04-17T04:00:00.000Z"	
"2020-04-18"	1223	0	1998.7142857142858	0	0	2.4560935073012796e-7	0.0012556536929357437	"2020-04-18T04:00:00.000Z"	
"2020-04-19"	892	0	1949	0	0	2.5190944860935216e-7	0.0012878415794027672	"2020-04-19T04:00:00.000Z"	
"2020-04-20"	1936	0	1923	0	0	2.553149573658762e-7	0.0013052402628077261	"2020-04-20T04:00:00.000Z"	
"2020-04-21"	1594	0	1871.5714285714287	0	0	2.6226972349727936e-7	0.0013407710972874855	"2020-04-21T04:00:00.000Z"	
"2020-04-22"	1562	0	1524.7142857142858	0	0	3.2193704176233e-7	0.0016455503502836324	"2020-04-22T04:00:00.000Z"	
"2020-04-23"	1458	1	1484.2857142857142	0.14285714285714285	0.00009624639076034648	3.308300289014093e-7	0.0016909675541477802	"2020-04-23T04:00:00.000Z"	
"2020-04-24"	1357	0	1431.7142857142858	0.14285714285714285	0.00009978048293753741	3.428413104771752e-7	0.0017523068601964919	"2020-04-24T04:00:00.000Z"	
"2020-04-25"	948	0	1392.4285714285713	0.14285714285714285	0.00010259567046270647	3.526913011882342e-7	0.0018026060568981687	"2020-04-25T04:00:00.000Z"	
"2020-04-26"	827	0	1383.142857142857	0.14285714285714285	0.0001032844453625284	3.5498605704701374e-7	0.0018143239147850225	"2020-04-26T04:00:00.000Z"	
"2020-04-27"	1549	0	1327.857142857143	0.14285714285714285	0.00010758472296933835	3.696852694323201e-7	0.0018893801762193915	"2020-04-27T04:00:00.000Z"	
"2020-04-28"	1324	0	1289.2857142857142	0.14285714285714285	0.00011080332409972299	3.8086830005161625e-7	0.0019464785355347135	"2020-04-28T04:00:00.000Z"	
"2020-04-29"	1449	0	1273.142857142857	0.14285714285714285	0.00011220825852782764	3.8565439185852296e-7	0.00197091438284058	"2020-04-29T04:00:00.000Z"	
"2020-04-30"	1459	0	1273.2857142857142	0	0	3.8565439185852296e-7	0.00197091438284058	"2020-04-30T04:00:00.000Z"	
"2020-05-01"	1332	0	1269.7142857142858	0	0	3.865652069808953e-7	0.001975564568384441	"2020-05-01T04:00:00.000Z"	
"2020-05-02"	877	0	1259.5714285714287	0	0	3.896325754892184e-7	0.0019912249227850877	"2020-05-02T04:00:00.000Z"	
"2020-05-03"	718	0	1244	0	0	3.946429188517794e-7	0.002016804546312664	"2020-05-03T04:00:00.000Z"	
"2020-05-04"	1373	0	1218.857142857143	0	0	4.027348364840403e-7	0.0020581153419433535	"2020-05-04T04:00:00.000Z"	
"2020-05-05"	1097	0	1186.4285714285713	0	0	4.1393841605857454e-7	0.0021153089476290987	"2020-05-05T04:00:00.000Z"	
"2020-05-06"	1020	0	1125.142857142857	0	0	4.3637808427137864e-7	0.0022298522595342366	"2020-05-06T04:00:00.000Z"	
"2020-05-07"	1009	0	1060.857142857143	0	0	4.626943993960056e-7	0.002364167170204562	"2020-05-07T04:00:00.000Z"	
"2020-05-08"	975	0	1009.8571428571429	0	0	4.860523872448076e-7	0.0024833680337021666	"2020-05-08T04:00:00.000Z"	
"2020-05-09"	697	0	984.1428571428571	0	0	4.988919687637626e-7	0.0025488851290869107	"2020-05-09T04:00:00.000Z"	
"2020-05-10"	516	0	955.2857142857143	0	0	5.140375980750178e-7	0.002626163864119668	"2020-05-10T04:00:00.000Z"	
"2020-05-11"	1061	0	910.7142857142857	0	0	5.388580606897935e-7	0.0027527943170087377	"2020-05-11T04:00:00.000Z"	
"2020-05-12"	991	0	895.5714285714286	0	0	5.478766024718113e-7	0.0027988016461752366	"2020-05-12T04:00:00.000Z"	
"2020-05-13"	1024	0	896.1428571428571	0	0	5.478766024718113e-7	0.0027988016461752366	"2020-05-13T04:00:00.000Z"	
"2020-05-14"	1138	0	914.5714285714286	0	0	5.365030412921932e-7	0.0027407800349805657	"2020-05-14T04:00:00.000Z"	
"2020-05-15"	2050	1	1068.142857142857	0.14285714285714285	0.00013374348000534973	4.5966246878606524e-7	0.002348693528254013	"2020-05-15T04:00:00.000Z"	
"2020-05-16"	580	0	1051.4285714285713	0.14285714285714285	0.0001358695652173913	4.670957717172836e-7	0.0023866294140360185	"2020-05-16T04:00:00.000Z"	
"2020-05-17"	536	0	1054.2857142857142	0.14285714285714285	0.00013550135501355014	4.657665927653485e-7	0.0023798460508178973	"2020-05-17T04:00:00.000Z"	
"2020-05-18"	1247	0	1080.857142857143	0.14285714285714285	0.00013217023526301876	4.541358926789305e-7	0.0023204876941400185	"2020-05-18T04:00:00.000Z"	
"2020-05-19"	1091	0	1095.142857142857	0.14285714285714285	0.00013044612575006522	4.4833091597225187e-7	0.0022908601359150093	"2020-05-19T04:00:00.000Z"	
"2020-05-20"	834	0	1068	0.14285714285714285	0.00013376136971642589	4.5966246878606524e-7	0.002348693528254013	"2020-05-20T04:00:00.000Z"	
"2020-05-21"	781	0	1017	0.14285714285714285	0.00014046916701783958	4.827077171199021e-7	0.002466300332395181	"2020-05-21T04:00:00.000Z"	
"2020-05-22"	835	0	843.4285714285714	0	0	5.823117628597763e-7	0.0029744501859111953	"2020-05-22T04:00:00.000Z"	
"2020-05-23"	474	0	828.2857142857143	0	0	5.928577007608619e-7	0.003028237230022119	"2020-05-23T04:00:00.000Z"	
"2020-05-24"	422	0	812	0	0	6.045360257285707e-7	0.0030877963590264868	"2020-05-24T04:00:00.000Z"	
"2020-05-25"	697	0	733.4285714285714	0	0	6.696684154416884e-7	0.003419904464613213	"2020-05-25T04:00:00.000Z"	
"2020-05-26"	790	0	690.4285714285714	0	0	7.113862393514489e-7	0.003632564272646933	"2020-05-26T04:00:00.000Z"	
"2020-05-27"	811	0	687.1428571428571	0	0	7.144915979177377e-7	0.003648392261412009	"2020-05-27T04:00:00.000Z"	
"2020-05-28"	634	0	666.1428571428571	0	0	7.370121471798992e-7	0.003763171804665945	"2020-05-28T04:00:00.000Z"	
"2020-05-29"	627	0	636.4285714285714	0	0	7.717631924362378e-7	0.003940260063074742	"2020-05-29T04:00:00.000Z"	
"2020-05-30"	422	0	629	0	0	7.803485549964376e-7	0.003984005463336022	"2020-05-30T04:00:00.000Z"	
